year,ic,shortName,longName,penizefo_url,bupfo_url,penizepo_url,buppo_url
2020,05402450,ABP,Aliance pro budoucnost,https://zpravy.udh.gov.cz/export/vfz2020-oda-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-oda-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-oda-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-oda-buppo.json
2020,05989175,AUTO,Motoristé sobě,https://zpravy.udh.gov.cz/export/vfz2020-referendumeu-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-referendumeu-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-referendumeu-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-referendumeu-buppo.json
2020,00442704,KDU-ČSL,KDU-ČSL,https://zpravy.udh.gov.cz/export/vfz2020-kducsl-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-kducsl-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-kducsl-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-kducsl-buppo.json
2020,00496936,KSČM,Komunistická strana Čech a Moravy,https://zpravy.udh.gov.cz/export/vfz2020-kscm-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-kscm-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-kscm-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-kscm-buppo.json
2020,16192656,ODS,Občanská demokratická strana,https://zpravy.udh.gov.cz/export/vfz2020-ods-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-ods-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-ods-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-ods-buppo.json
2020,71339698,Piráti,Česká pirátská strana,https://zpravy.udh.gov.cz/export/vfz2020-pirati-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-pirati-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-pirati-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-pirati-buppo.json
2020,00409171,SOCDEM,Sociální demokracie,https://zpravy.udh.gov.cz/export/vfz2020-cssd-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-cssd-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-cssd-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-cssd-buppo.json
2020,26673908,STAN,STAROSTOVÉ A NEZÁVISLÍ,https://zpravy.udh.gov.cz/export/vfz2020-stan-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-stan-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-stan-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-stan-buppo.json
2020,71339612,Svobodní,Svobodní,https://zpravy.udh.gov.cz/export/vfz2020-svobodni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-svobodni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-svobodni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-svobodni-buppo.json
2020,71339728,TOP 09,TOP 09,https://zpravy.udh.gov.cz/export/vfz2020-top09-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-top09-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-top09-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-top09-buppo.json
2020,00409740,Zelení,Strana zelených,https://zpravy.udh.gov.cz/export/vfz2020-zeleni-penizefo.json,https://zpravy.udh.gov.cz/export/vfz2020-zeleni-bupfo.json,https://zpravy.udh.gov.cz/export/vfz2020-zeleni-penizepo.json,https://zpravy.udh.gov.cz/export/vfz2020-zeleni-buppo.json
