ic,shortName,longName,HEX,logo
05402450,ABP,Aliance pro budoucnost,"#105da3",
05989175,AUTO,Motoristé sobě,"#1c9cd9",
00442704,KDU-ČSL,KDU-ČSL,"#f7f012",
00496936,KSČM,Komunistická strana Čech a Moravy,"#bf0202",
16192656,ODS,Občanská demokratická strana,"#034ea2",
71339698,Piráti,Česká pirátská strana,"#000000",
00409171,SOCDEM,Sociální demokracie,"#ff5f60",
26673908,STAN,Starostové a nezávislí,"#cd0f69",
71339612,Svobodní,Svobodní,"#008c72",
71339728,TOP 09,TOP 09,"#ff0052",
00409740,Zelení,Strana zelených,"#00ad43",
10742409,PŘÍSAHA,Přísaha - občanské hnutí,"#0033ff",
71443339,ANO,ANO 2011,"#111e6c",
22142631,Stačilo!,Stačilo!,"#bf0202",
04134940,SPD,Svoboda a přímá demokracie,"#0e76bb",
